id,topic,text
1,спорт,"Футбольный клуб объявил о переходе нового нападающего, трансфер обошёлся в рекордную для команды сумму."
2,спорт,"Вчерашний матч закончился со счётом 2:1, победный гол забили на последней минуте добавленного времени."
3,спорт,"Марафонец установил личный рекорд, пробежав дистанцию за два часа и одиннадцать минут."
4,спорт,"Тренер по плаванию изменил программу подготовки: теперь упор на спринтерские отрезки и работу над стартом."
5,спорт,"Хоккейная лига продлила сезон на две недели из-за перенесённых зимой игр."
6,спорт,"Баскетболист набрал 38 очков за игру и стал лучшим снайпером вечера."
7,спорт,"Судья удалил вратаря за грубый подкат, и команда доигрывала встречу вдесятером."
8,спорт,"Юная гимнастка впервые выиграла национальный чемпионат, обойдя опытных соперниц на две десятых балла."
9,спорт,"Велогонка проходила под дождём, и на спуске в главную группу ушли только пять гонщиков."
10,спорт,"После травмы колена теннисист пропустит полгода и вернётся на корт не раньше следующего сезона."
11,кулинария,"Тесто для пиццы должно подниматься не меньше двух часов, иначе корж получится плотным."
12,кулинария,"Обжарьте лук до золотистого цвета, добавьте чеснок и через минуту влейте сливки."
13,кулинария,"Борщ наваристее всего получается на говяжьем бульоне, а свёклу лучше добавлять в самом конце."
14,кулинария,"Рецепт бабушкиных пирожков с капустой: дрожжевое тесто, щепотка сахара и горсть жареного лука в начинке."
15,кулинария,"Су-вид позволяет приготовить стейк равномерной прожарки по всей толщине при точной температуре воды."
16,кулинария,"В гаспачо кладут спелые помидоры, огурец, болгарский перец и немного вчерашнего хлеба для густоты."
17,кулинария,"Карамель начинает гореть буквально за секунды, поэтому сотейник снимают с огня чуть раньше нужного оттенка."
18,кулинария,"Для домашней пасты достаточно муки, яиц и щепотки соли — никакой воды в классическом рецепте нет."
19,кулинария,"Маринад для курицы на кефире с паприкой делает мясо мягче уже через пару часов."
20,кулинария,"Шоколадный фондан подают сразу из духовки, пока середина остаётся жидкой."
21,технологии,"Новый процессор построен по трёхнанометровому техпроцессу и потребляет на треть меньше энергии."
22,технологии,"Разработчики выпустили обновление операционной системы, закрывшее критическую уязвимость в ядре."
23,технологии,"Нейросеть научили распознавать рентгеновские снимки с точностью опытного рентгенолога."
24,технологии,"Смартфон получил экран с частотой обновления 120 Гц и поддержку быстрой зарядки."
25,технологии,"Открытый исходный код фреймворка позволяет любому проверить, как устроена библиотека внутри."
26,технологии,"Квантовый компьютер впервые решил задачу факторизации быстрее классического кластера."
27,технологии,"В дата-центре заменили систему охлаждения на жидкостную — температура серверов упала на десять градусов."
28,технологии,"Программист переписал узкое место приложения с Python на Rust, и время отклика сократилось в десять раз."
29,технологии,"Спутниковый интернет обеспечил связь в посёлке, куда так и не провели оптоволокно."
30,технологии,"Беспилотный автомобиль прошёл сертификацию для движения по городским улицам без водителя за рулём."
31,финансы,"Центральный банк повысил ключевую ставку на полтора процентного пункта, чтобы сдержать инфляцию."
32,финансы,"Акции компании упали на восемь процентов после публикации квартального отчёта хуже прогнозов."
33,финансы,"Инвестор переложил треть портфеля в облигации, опасаясь коррекции на фондовом рынке."
34,финансы,"Ипотечная ставка выросла, и спрос на новостройки заметно снизился за последний квартал."
35,финансы,"Дивидендная доходность голубых фишек в этом году превышает ставку по банковским вкладам."
36,финансы,"Биржа приостановила торги после резкого обвала индекса на открытии сессии."
37,финансы,"Семейный бюджет перестал сходиться: расходы на продукты выросли быстрее зарплаты."
38,финансы,"Венчурный фонд вложился в стартап на посевной стадии, оценив компанию в десять миллионов."
39,финансы,"Аудиторы обнаружили в отчётности завышение выручки, и совет директоров отправил гендиректора в отставку."
40,финансы,"Валютные интервенции стабилизировали курс, но золотовалютные резервы заметно сократились."
