Код,Ретраим?,Почему
**400** `invalid_request_error` / `BadRequestError`,❌,"Запрос сломан (валидация, prefill, thinking-блоки). Повтор даст то же самое — чините запрос"
**401** `authentication_error`,❌,Ключ невалиден/отозван/истёк — нужно действие человека
**402** `billing_error`,❌,Проблема с оплатой — повтор не поможет
**403** `permission_error`,❌,Нет прав на ресурс — проверяйте доступы
**404** `not_found_error`,❌,Ресурса/модели не существует — проверьте ID и путь
**408** Request Timeout,✅,Временная сетевая ситуация
**409** `conflict_error`,✅ (после разрешения конфликта),Ресурс изменён параллельно
**413** `request_too_large`,❌,Уменьшайте запрос (Messages API — 32 МБ)
**422** `UnprocessableEntityError`,❌,Семантическая ошибка в данных запроса
**429** `rate_limit_error`,✅ (с `retry-after`),"Временный лимит. ⚠️ Исключение: 429 от потолка трат (spend cap) — **без заголовка `retry-after`**, ретрай бессмысленен, пока не возобновится доступ"
**500/529** `api_error` / `overloaded_error`,✅,Внутренний сбой / перегрузка — backoff и терпение
**504** `timeout_error`,✅ + пересмотр дизайна,Для долгих запросов — стриминг
Нет ответа (сеть) `APIConnectionError`,✅,Сетевая проблема
