id,question,ground_truth,anchor,source,is_negative,expected_ids_512,expected_ids_256,relevant
q_001,"What was the global market share of Windows 11 as of January 31, 2026?",Windows 11 had a global market share of 62.16%.,Windows 11 62.16%,Windows_10.pdf,False,['Windows_10_chunk_45'],['Windows_10_chunk_93'],
q_002,What did Subrahmanyan Chandrasekhar discover about white dwarf stars?,"In 1931 Chandrasekhar showed that electron-degenerate matter is stable only below a certain limiting mass (now called the Chandrasekhar limit, ~1.4 solar masses), which explained the characteristics of known white dwarfs.",,,False,"['White_dwarf_chunk_0', 'White_dwarf_chunk_4', 'White_dwarf_chunk_9', 'Black_hole_chunk_3']","['White_dwarf_chunk_1', 'White_dwarf_chunk_9', 'White_dwarf_chunk_17', 'Black_hole_chunk_7']","[{'source': 'White_dwarf.pdf', 'anchor': 'maximum mass'}, {'source': 'Black_hole.pdf', 'anchor': 'stable below a certain limiting mass'}]"
q_004,What is reinforcement learning from human feedback (RLHF) used for in NLP?,RLHF is used to train large language models by comparing or ranking outputs to optimize performance based on human preferences.,Reinforcement learning from human feedback (RLHF),Reinforcement_learning.pdf,False,['Reinforcement_learning_chunk_19'],['Reinforcement_learning_chunk_36'],
q_008,What was the outcome of the battle of Lake Trasimene?,"Hannibal completely defeated a Roman army, killing 15,000 Romans and taking 15,000 prisoners.",completely defeated this Roman army,Punic_Wars.pdf,False,['Punic_Wars_chunk_17'],['Punic_Wars_chunk_31'],
q_009,What trick allows SVMs to perform non-linear classification?,The hinge loss function is used.,,,False,"['Support_vector_machine_chunk_0', 'Support_vector_machine_chunk_3', 'Support_vector_machine_chunk_7', 'Support_vector_machine_chunk_8', 'Support_vector_machine_chunk_16']","['Support_vector_machine_chunk_0', 'Support_vector_machine_chunk_7', 'Support_vector_machine_chunk_12', 'Support_vector_machine_chunk_13', 'Support_vector_machine_chunk_15', 'Support_vector_machine_chunk_31']","[{'source': 'Support_vector_machine.pdf', 'anchor': 'kernel trick'}, {'source': 'Support_vector_machine.pdf', 'anchor': 'Nonlinear kernels'}]"
q_010,What health problems can excessive procrastination cause?,"Excessive procrastination can result in health problems, stress, anxiety, a sense of guilt and crisis, as well as loss of personal productivity and social disapproval.","result in health problems, stress",Procrastination.pdf,False,['Procrastination_chunk_8'],['Procrastination_chunk_12'],
q_011,What event marked the end of Hannibal's success in Italy?,The combination of Hasdrubal's defeat and the failure of Mago marked the end of Hannibal's success in Italy.,marked the end to Hannibal's success,Hannibal.pdf,False,['Hannibal_chunk_21'],['Hannibal_chunk_44'],
q_013,What was the main discovery made by astronomers in the early 1990s regarding PSR B1620-26 b?,Astronomers discovered a third object was needed to explain the observed Doppler shifts.,a third object was needed,Exoplanet.pdf,False,['Exoplanet_chunk_10'],['Exoplanet_chunk_19'],
q_014,What garment replaced the toga in Roman fashion?,The pallium replaced the toga as a garment embodying social unity.,the pallium as a garment embodying,Roman_Empire.pdf,False,['Roman_Empire_chunk_46'],['Roman_Empire_chunk_93'],
q_015,What legislation did Caesar pass to combat provincial corruption during his consulship?,Caesar passed the lex Julia de repetundis to crack down on provincial corruption.,lex Julia de repetundis,Julius_Caesar.pdf,False,['Julius_Caesar_chunk_14'],['Julius_Caesar_chunk_29'],
